INDV,O(HOM),E(HOM),N_SITES,F,O(HET),Prop,Species,Chrom,SEXO
R_808__Hccong_L1,2113127,1956496.6,2133617,0.88432,20490,0.009603411,H.congener,Chr5,Male
R_812__Hssara_L3,2169537,2105286.1,2301668,0.32717,132131,0.057406629,H.sara,Chr5,Female
R_820__Hssara_L3,2181066,2115976.3,2313609,0.32935,132543,0.057288418,H.sara,Chr5,Male
R_828__Hssara_L3,2172438,2108715.6,2305549,0.32374,133111,0.057735056,H.sara,Chr5,Male
R_831__Hccong_L7,2039186,1893551.6,2062835,0.8603,23649,0.01146432,H.congener,Chr5,Female
R_869__Heprim_L3,2039687,1891835.1,2062045,0.86864,22358,0.010842634,H.eleuchia,Chr5,Male
R_870__Heprim_L3,2052004,1928102.8,2102103,0.71208,50099,0.0238328,H.eleuchia,Chr5,Female
R_871__Hsspru_L3,2212088,2124365.9,2323263,0.44104,111175,0.047852955,H.sara,Chr5,Male
R_886__Hsspru_L3,2218154,2129151,2328623,0.44619,110469,0.047439624,H.sara,Chr5,Male
R_887__Heprim_L3,1984123,1863401.9,2030402,0.72288,46279,0.022793023,H.eleuchia,Chr5,Female
R_888__Heprim_L3,2036780,1889680.4,2059525,0.86608,22745,0.011043809,H.eleuchia,Chr5,Male
S1053__Hssara_L7,2195081,2131188.8,2330576,0.32044,135495,0.058137988,H.sara,Chr5,Male
S12_US_Hssara_L7,2189438,2126893.9,2325679,0.31463,136241,0.058581171,H.sara,Chr5,Female
S1_USD_Hssara_L7,2186789,2123214.4,2321779,0.32017,134990,0.058140762,H.sara,Chr5,Male
S2083__Heeleu_L2,2185927,2009051.7,2192230,0.96559,6303,0.002875155,H.eleuchia,Chr5,Male
S21203_Haanti_L5,2160552,2039273.2,2226130,0.64905,65578,0.029458298,H.antiochus,Chr5,Female
S21204_Hssara_L5,2190151,2127376,2326326,0.31553,136175,0.058536508,H.sara,Chr5,Male
S21229_Haanti_L5,2144971,2024260,2209415,0.65195,64444,0.029167902,H.antiochus,Chr5,Male
S21234_Haanti_L2,2160444,2038659.3,2225306,0.65249,64862,0.029147452,H.antiochus,Chr5,Female
S2172__Hsmagd_L5,2208404,2149314.8,2350823,0.29323,142419,0.060582613,H.sara,Chr5,Male
S2852__Heprim_L2,2129231,1974368.2,2153695,0.86358,24464,0.011359083,H.eleuchia,Chr5,Male
S29_US_Hsmagd_L2,2139507,2165883.4,2369212,-0.12972,229705,0.096954177,H.sara,Chr5,Male
S3106__Heeleu_L2,2060790,1897078.2,2068136,0.95706,7346,0.003551991,H.eleuchia,Chr5,Male
S337_1_Haanti_L2,2154360,2033177,2219113,0.65175,64753,0.029179677,H.antiochus,Chr5,Male
S33_US_Hlpseu_L5,2184012,2046498.1,2236052,0.72546,52040,0.023273162,H.leucadia,Chr5,Male
S3533__Hsmagd_L5,2233605,2147225.9,2348698,0.42874,115093,0.049002894,H.sara,Chr5,Male
S40203_Hccong_L2,2158691,2000495,2182847,0.86753,24156,0.011066282,H.congener,Chr5,Male
S40219_Hssara_L7,2193091,2131073.7,2330404,0.31113,137313,0.058922401,H.sara,Chr5,Male
S40343_Heprim_L2,2130920,1976212.5,2155815,0.86139,24895,0.011547837,H.eleuchia,Chr5,Male
S4096__Haanti_L5,2156113,2035014.3,2221495,0.64939,65382,0.029431531,H.antiochus,Chr5,Female
S4097__Haanti_L5,2158278,2035949.4,2222252,0.65661,63974,0.028787914,H.antiochus,Chr5,Male
S4346__Hsmagd_L5,2182271,2120676.3,2318833,0.31084,136562,0.058892555,H.sara,Chr5,Female
S4704__Hselek_L5,2255918,2129031.5,2328458,0.63626,72540,0.031153665,H.sara,Chr5,Male
S4895__Hasnov_L2,2175371,2048291,2236119,0.67658,60748,0.027166712,H.antiochus,Chr5,Female
S4897__Haaran_L2,2151156,2025371.9,2210626,0.67898,59470,0.026901882,H.antiochus,Chr5,Male
S534_U_Heeleu_L5,2179217,2023693.8,2208756,0.84038,29539,0.013373591,H.eleuchia,Chr5,Male
S5_USD_Hssara_L7,2178252,2114830.9,2312372,0.32105,134120,0.058001048,H.sara,Chr5,Male
S857_U_Heeleu_L2,2172191,1996405.5,2178211,0.96689,6020,0.002763736,H.eleuchia,Chr5,Female
S8970__Heeleu_L2,2125276,1995928.4,2177768,0.71133,52492,0.024103578,H.eleuchia,Chr5,Female
S8_USD_Hssara_L7,2192177,2128492.8,2327539,0.31995,135362,0.058156705,H.sara,Chr5,Male
S9556__Haaran_L2,2156337,2016750.2,2200996,0.75761,44659,0.020290359,H.antiochus,Chr5,Female
A2458__Heeleu_L2,2949349,2713421.7,2958326,0.96334,8977,0.003034486,H.eleuchia,Chr6,Male
A2790__Hssaph_L2,3008132,2821357.3,3077651,0.72875,69519,0.022588331,H.sapho,Chr6,Male
A28_US_Hasnov_L2,2967876,2752955.8,3001896,0.86334,34020,0.011332838,H.congener,Chr6,Male
A3154__Heeleu_L2,3010173,2772720.3,3024141,0.94444,13968,0.004618832,H.eleuchia,Chr6,Male
A323_U_Hasnov_L2,2982655,2798714.3,3052994,0.72338,70339,0.023039351,H.antiochus,Chr6,Female
A3491__Hschoc_L3,2965863,2778583.2,3029955,0.74503,64092,0.021152789,H.sapho,Chr6,Female
A3497__Hschoc,3006723,2818389.2,3074540,0.73525,67817,0.022057609,H.sapho,Chr6,Male
A3501__Hschoc_L2,2982000,2795909.7,3049309,0.73438,67309,0.022073526,H.sapho,Chr6,Male
A3646__Heeleu_L2,2919087,2718720,2964505,0.81521,45418,0.015320602,H.eleuchia,Chr6,Male
A3740__Hcaqui_L2,3047716,2824501,3081574,0.86829,33858,0.010987242,H.congener,Chr6,Male
A3837__Hcaqui_L2,3026807,2797949.8,3052283,0.89983,25476,0.008346539,H.congener,Chr6,Male
A3856__Hsspru_L1,3049750,2987818.4,3266346,0.22235,216596,0.066311407,H.sara,Chr6,Female
A3858__Hsspru_L1,3105513,2973757.6,3250783,0.47561,145270,0.044687695,H.sara,Chr6,Female
A3861__Hsspru_L1,3114052,2957467.4,3232715,0.56889,118663,0.036706917,H.sara,Chr6,Female
A3900__Hsmagd_L1,3092601,2965375.5,3241620,0.46055,149019,0.045970533,H.sara,Chr6,Female
A4016__Hlleuc,3005548,2808356.3,3066689,0.76332,61141,0.019937137,H.leucadia,Chr6,Female
A4121__Hssara_L1,3051857,2952171.1,3226545,0.36332,174688,0.054140884,H.sara,Chr6,Male
A4272__Hssara_L1,3029655,2929540.9,3201583,0.36801,171928,0.053700935,H.sara,Chr6,Male
A4278__Hcaqui_L2,3008269,2788736.5,3041886,0.8672,33617,0.011051367,H.congener,Chr6,Male
A4340__Hsmagd_L1,3020375,2919863.4,3190850,0.37091,170475,0.053426203,H.sara,Chr6,Male
A4343__Hssara_L1,3035994,2935281,3207859,0.36948,171865,0.053576233,H.sara,Chr6,Female
A4489__Hssara_L1,3046750,2948108.2,3221957,0.36021,175207,0.054379062,H.sara,Chr6,Male
A4534__Hsbrev_L2,3105769,2974260,3251340,0.47462,145571,0.044772617,H.sara,Chr6,Female
A4538__Hsbrev_L2,3102235,2974627.9,3251628,0.46068,149393,0.045944062,H.sara,Chr6,Male
A4678__Hselek_L2,3128597,2942588.8,3216358,0.67943,87761,0.027285831,H.sara,Chr6,Female
A4680__Hselek_L6,3099634,2917496.5,3188662,0.67168,89028,0.027920175,H.sara,Chr6,Male
A4683__Hselek_L2,3107096,2929667.6,3202056,0.65138,94960,0.029655946,H.sara,Chr6,Female
A4749__Heeleu,2948662,2746096.3,2994396,0.81581,45734,0.015273197,H.eleuchia,Chr6,Female
D3_USD_Hvenez_L1,2956708,2726528.3,2973694,0.93128,16986,0.005712087,H.hewitsoni,Chr6,Male
D5208__Hvenez_L1,2856865,2675944.2,2918038,0.74732,61173,0.020963743,H.antiochus,Chr6,Male
D5211__Hvenez_L1,2982585,2886573.5,3154300,0.35862,171715,0.054438386,H.sara,Chr6,Male
D5213__Hvenez_L1,2934994,2749612.8,2999614,0.74152,64620,0.021542772,H.antiochus,Chr6,Male
D5221__Hvenez_L1,2875038,2697455,2941421,0.7279,66383,0.022568344,H.antiochus,Chr6,Female
D5248__Hvenez_L1,3052903,2924944.5,3197135,0.47011,144232,0.04511289,H.sara,Chr6,Female
D5253__Hvenez_L1,2899031,2703932.8,2948993,0.79612,49962,0.016942054,H.antiochus,Chr6,Male
D5259__Hvenez_L1,2916963,2733924.9,2981875,0.73821,64912,0.021768853,H.antiochus,Chr6,Male
D5270__Hvenez_L1,2889321,2726593.8,2973798,0.65827,84477,0.028407108,H.antiochus,Chr6,Male
D5273__Hvenez_L1,2869323,2707575.2,2952053,0.66161,82730,0.028024565,H.antiochus,Chr6,Female
D5276__Hvenez_L1,2892760,2731460.3,2978973,0.65168,86213,0.028940511,H.antiochus,Chr6,Female
D6_USD_Hvenez_L1,2905493,2672225.2,2913295,0.96764,7802,0.002678067,H.hewitsoni,Chr6,Female
D7_USD_Hvenez_L1,2901166,2668434.1,2908759,0.96841,7593,0.002610392,H.hewitsoni,Chr6,Male
R_1163_Hasnov_L8,2931823,2757942.2,3007913,0.6956,76090,0.025296609,H.antiochus,Chr6,Male
R_15_D_Hssara_L1,2993308,2891219.2,3159051,0.38117,165743,0.052466073,H.sara,Chr6,Male
R_16_D_Hssara_L1,3005263,2906094.9,3175678,0.36786,170415,0.053662556,H.sara,Chr6,Male
R_2794_Hssaph_L7,2902250,2718811.9,2963809,0.74874,61559,0.020770232,H.sapho,Chr6,Female
R_31_D_Hsmagd_L1,3079300,2949867.4,3224392,0.47148,145092,0.044998251,H.sara,Chr6,Male
R_32_D_Hsmagd_L2,3082842,2950835.3,3225506,0.4806,142664,0.04422996,H.sara,Chr6,Male
R_3467_Hssara_L1,2994770,2893775.8,3161901,0.37667,167131,0.052857759,H.sara,Chr6,Male
R_3510_Hschoc_L8,2937625,2751662.1,3000313,0.74789,62688,0.02089382,H.sapho,Chr6,Female
R_3511_Hschoc_L2,2932196,2746315.9,2994247,0.74972,62051,0.020723407,H.sapho,Chr6,Male
R_35_D_Hssara_L1,2994568,2893325.7,3161329,0.37777,166761,0.052750283,H.sara,Chr6,Female
R_36_D_Hssara_L8,2959179,2950522,3224456,0.0316,265277,0.082270312,H.sara,Chr6,Female
R_3751_Hssara_L8,3011574,2911190.8,3181265,0.37169,169691,0.053340731,H.sara,Chr6,Female
R_37_D_Hssara_L2,2941524,2936528.9,3208665,0.01836,267141,0.083256121,H.sara,Chr6,Female
R_4134_Hsmagd_L7,3029136,2927746.3,3199537,0.37304,170401,0.053258018,H.sara,Chr6,Male
R_4186_Hsmagd_L8,3056211,2927709.6,3200043,0.47185,143832,0.044946896,H.sara,Chr6,Male
R_4187_Hsmagd_L1,3089824,2960515.4,3236244,0.46897,146420,0.045243807,H.sara,Chr6,Male
R_4510_Hssaph_L8,2976445,2793905,3047274,0.72045,70829,0.023243397,H.sapho,Chr6,Female
R_4590_Hsspru_L2,3073109,2942654.6,3216449,0.47647,143340,0.044564674,H.sara,Chr6,Male
R_4591_Hsspru_L1,3052987,2924694.2,3196597,0.47183,143610,0.044925901,H.sara,Chr6,Male
R_4597_Hsspru_L7,3074168,2947638.3,3221947,0.46127,147779,0.045866366,H.sara,Chr6,Female
R_4864_Heeleu_L7,2932273,2731208.4,2978020,0.81465,45747,0.015361549,H.eleuchia,Chr6,Female
R_4871_Heeleu_L8,2894258,2695234.3,2937520,0.82144,43262,0.014727389,H.eleuchia,Chr6,Male
R_5074_Haaran_L7,2923313,2737633.8,2985298,0.74972,61985,0.020763421,H.antiochus,Chr6,Female
R_5091_Hssaph_L8,2952995,2772512.9,3023456,0.71922,70461,0.023304788,H.sapho,Chr6,Female
R_5092_Hssaph_L1,2963407,2790036.8,3042558,0.68656,79151,0.026014623,H.sapho,Chr6,Female
R_5237_Hssaph_L3,2922492,2744205.6,2992049,0.71935,69557,0.02324728,H.sapho,Chr6,Male
R_5314_Hssaph_L3,2930660,2751299.6,3000182,0.72066,69522,0.023172594,H.sapho,Chr6,Female
R_5324_Hssaph_L3,2947374,2768270.2,3018786,0.71494,71412,0.023655867,H.sapho,Chr6,Male
R_806__Hccong_L1,2956982,2740638.3,2988363,0.87332,31381,0.010501067,H.congener,Chr6,Female
R_807__Hccong_L1,2933038,2717716.1,2963071,0.87759,30033,0.010135768,H.congener,Chr6,Male
R_808__Hccong_L1,2915728,2702582,2946273,0.87466,30545,0.010367335,H.congener,Chr6,Male
R_812__Hssara_L3,3003424,2904053.8,3173412,0.36891,169988,0.053566319,H.sara,Chr6,Female
R_820__Hssara_L3,3019762,2917131.7,3187851,0.3791,168089,0.052727998,H.sara,Chr6,Male
R_828__Hssara_L3,3012184,2909827.8,3179768,0.37918,167584,0.052703216,H.sara,Chr6,Male
R_831__Hccong_L7,2803156,2603620.6,2835324,0.86117,32168,0.011345441,H.congener,Chr6,Female
R_869__Heprim_L3,2827970,2631232.1,2867273,0.83349,39303,0.01370745,H.eleuchia,Chr6,Male
R_870__Heprim_L3,2879076,2679502.2,2920875,0.82683,41799,0.014310438,H.eleuchia,Chr6,Female
R_871__Hsspru_L3,3074372,2937978.4,3211392,0.49885,137020,0.042666856,H.sara,Chr6,Male
R_886__Hsspru_L3,3082195,2946988.1,3221087,0.49328,138892,0.043119605,H.sara,Chr6,Male
R_887__Heprim_L3,2796378,2599537.6,2832289,0.84571,35911,0.012679144,H.eleuchia,Chr6,Female
R_888__Heprim_L3,2820100,2622097,2857194,0.84222,37094,0.012982668,H.eleuchia,Chr6,Male
S1053__Hssara_L7,3042491,2941341.5,3214728,0.36999,172237,0.053577472,H.sara,Chr6,Male
S12_US_Hssara_L7,3034231,2934754.8,3207258,0.36505,173027,0.053948575,H.sara,Chr6,Female
S1_USD_Hssara_L7,3030648,2931989.3,3204316,0.36228,173668,0.05419815,H.sara,Chr6,Male
S2083__Heeleu_L2,3016375,2776134.4,3028396,0.95235,12021,0.003969428,H.eleuchia,Chr6,Male
S21203_Haanti_L5,2988219,2824438.4,3082099,0.63564,93880,0.030459761,H.antiochus,Chr6,Female
S21204_Hssara_L5,3032792,2932740.1,3205199,0.36722,172407,0.053789796,H.sara,Chr6,Male
S21229_Haanti_L5,2965638,2801595.3,3056950,0.64241,91312,0.029870296,H.antiochus,Chr6,Male
S21234_Haanti_L2,2986527,2822614,3079801,0.63733,93274,0.030285723,H.antiochus,Chr6,Female
S2172__Hsmagd_L5,3062202,2977795,3255249,0.30422,193047,0.059303298,H.sara,Chr6,Male
S2852__Heprim_L2,2949061,2742942.9,2991058,0.83074,41997,0.014040851,H.eleuchia,Chr6,Male
S29_US_Hsmagd_L2,2974475,2996810.8,3276314,-0.07991,301839,0.092127617,H.sara,Chr6,Male
S3106__Heeleu_L2,2855187,2629938.6,2866479,0.95226,11292,0.003939328,H.eleuchia,Chr6,Male
S337_1_Haanti_L2,2976714,2811090.3,3067153,0.64681,90439,0.029486302,H.antiochus,Chr6,Male
S33_US_Hlpseu_L5,3011944,2816569.3,3075977,0.75316,64033,0.020817126,H.leucadia,Chr6,Male
S3533__Hsmagd_L5,3104009,2975469.7,3252707,0.46364,148698,0.045715154,H.sara,Chr6,Male
S40203_Hccong_L2,2984540,2766939.1,3017906,0.86705,33366,0.01105601,H.congener,Chr6,Male
S40219_Hssara_L7,3036020,2937532.6,3210542,0.36075,174522,0.054359046,H.sara,Chr6,Male
S40343_Heprim_L2,2949526,2744098.4,2992537,0.82687,43011,0.014372755,H.eleuchia,Chr6,Male
S4096__Haanti_L5,2981240,2817786.9,3074677,0.63628,93437,0.030389208,H.antiochus,Chr6,Female
S4097__Haanti_L5,2977831,2813678.8,3070286,0.6397,92455,0.03011283,H.antiochus,Chr6,Male
S4346__Hsmagd_L5,3022476,2924012.1,3195547,0.36262,173071,0.054160055,H.sara,Chr6,Female
S4704__Hselek_L5,3116222,2940711,3214349,0.6414,98127,0.030527799,H.sara,Chr6,Male
S4895__Hasnov_L2,3009562,2837504.1,3096484,0.66437,86922,0.028071193,H.antiochus,Chr6,Female
S4897__Haaran_L2,2972177,2799201.1,3054132,0.67852,81955,0.026834138,H.antiochus,Chr6,Male
S534_U_Heeleu_L5,3008018,2802161.9,3057244,0.80702,49226,0.01610143,H.eleuchia,Chr6,Male
S5_USD_Hssara_L7,3007129,2907670.4,3177271,0.36891,170142,0.053549729,H.sara,Chr6,Male
S857_U_Heeleu_L2,2997477,2757860.1,3008008,0.9579,10531,0.003500988,H.eleuchia,Chr6,Female
S8970__Heeleu_L2,2965378,2760904.8,3011048,0.81742,45670,0.015167477,H.eleuchia,Chr6,Female
S8_USD_Hssara_L7,3035342,2937215.1,3210094,0.3596,174752,0.054438281,H.sara,Chr6,Male
S9556__Haaran_L2,2984698,2791003.3,3044855,0.76302,60157,0.019756934,H.antiochus,Chr6,Female
A2458__Heeleu_L2,3055147,2810034.6,3064924,0.96164,9777,0.003189965,H.eleuchia,Chr7,Male
A2790__Hssaph_L2,3100690,2896138,3160553,0.7736,59863,0.018940673,H.sapho,Chr7,Male
A28_US_Hasnov_L2,3075539,2847655.1,3106647,0.87989,31108,0.010013368,H.congener,Chr7,Male
A3154__Heeleu_L2,3110050,2860938.6,3121378,0.9565,11328,0.003629166,H.eleuchia,Chr7,Male
A323_U_Hasnov_L2,3081217,2882276.5,3145267,0.75646,64050,0.020363931,H.antiochus,Chr7,Female
A3491__Hschoc_L3,3060881,2857202.3,3117095,0.7837,56214,0.018034099,H.sapho,Chr7,Female
A3497__Hschoc,3095855,2892301.1,3156197,0.77134,60342,0.019118578,H.sapho,Chr7,Male
A3501__Hschoc_L2,3077055,2872301.3,3133895,0.78272,56840,0.018137174,H.sapho,Chr7,Male
A3646__Heeleu_L2,3013496,2804552.1,3059718,0.81886,46222,0.015106621,H.eleuchia,Chr7,Male
A3740__Hcaqui_L2,3141302,2907464,3173445,0.87915,32143,0.01012874,H.congener,Chr7,Male
A3837__Hcaqui_L2,3126039,2887864.7,3151560,0.90322,25521,0.008097894,H.congener,Chr7,Male
A3856__Hsspru_L1,3116121,3061910.3,3348866,0.18892,232745,0.069499646,H.sara,Chr7,Female
A3858__Hsspru_L1,3185944,3042225.8,3326988,0.5047,141044,0.042393901,H.sara,Chr7,Female
A3861__Hsspru_L1,3188287,3042778.5,3327659,0.51077,139372,0.041882897,H.sara,Chr7,Female
A3900__Hsmagd_L1,3177561,3041198.5,3325808,0.47912,148247,0.044574732,H.sara,Chr7,Female
A4016__Hlleuc,3105070,2906253.3,3174936,0.73997,69866,0.022005483,H.leucadia,Chr7,Female
A4121__Hssara_L1,3137256,3035546.2,3319222,0.35854,181966,0.054821883,H.sara,Chr7,Male
A4272__Hssara_L1,3120025,3016699.7,3298227,0.36702,178202,0.054029635,H.sara,Chr7,Male
A4278__Hcaqui_L2,3106438,2875509.1,3137672,0.88086,31234,0.009954514,H.congener,Chr7,Male
A4340__Hsmagd_L1,3117072,3012629,3293689,0.3716,176617,0.053622853,H.sara,Chr7,Male
A4343__Hssara_L1,3125228,3020682.1,3302790,0.37059,177562,0.053761214,H.sara,Chr7,Female
A4489__Hssara_L1,3133959,3031339.5,3314512,0.36239,180553,0.054473479,H.sara,Chr7,Male
A4534__Hsbrev_L2,3188314,3052091.3,3337814,0.47677,149500,0.044789794,H.sara,Chr7,Female
A4538__Hsbrev_L2,3188151,3049700.6,3335205,0.48493,147054,0.044091443,H.sara,Chr7,Male
A4678__Hselek_L2,3220370,3025089.3,3307821,0.69069,87451,0.026437646,H.sara,Chr7,Female
A4680__Hselek_L6,3200294,3003677.2,3284283,0.70069,83989,0.025573009,H.sara,Chr7,Male
A4683__Hselek_L2,3206363,3011225.2,3292663,0.69336,86300,0.026209788,H.sara,Chr7,Female
A4749__Heeleu,3047187,2837652.2,3095655,0.81214,48468,0.015656783,H.eleuchia,Chr7,Female
D3_USD_Hvenez_L1,3045951,2803495.7,3058391,0.9512,12440,0.004067498,H.hewitsoni,Chr7,Male
D5208__Hvenez_L1,2971809,2777165.2,3029602,0.77106,57793,0.019076103,H.antiochus,Chr7,Male
D5211__Hvenez_L1,3080655,2984350,3262631,0.34607,181976,0.055775845,H.sara,Chr7,Male
D5213__Hvenez_L1,3039774,2842564.7,3102234,0.75946,62460,0.020133878,H.antiochus,Chr7,Male
D5221__Hvenez_L1,2988448,2800073.8,3054791,0.73954,66343,0.021717689,H.antiochus,Chr7,Female
D5248__Hvenez_L1,3139725,3003285.1,3283970,0.4861,144245,0.04392397,H.sara,Chr7,Female
D5253__Hvenez_L1,3004463,2796731,3051291,0.81604,46828,0.015346947,H.antiochus,Chr7,Male
D5259__Hvenez_L1,3021610,2824823.7,3082273,0.76437,60663,0.019681255,H.antiochus,Chr7,Male
D5270__Hvenez_L1,2992135,2820262.7,3077354,0.66853,85219,0.027692297,H.antiochus,Chr7,Male
D5273__Hvenez_L1,2966341,2793927.8,3047339,0.68037,80998,0.026579911,H.antiochus,Chr7,Female
D5276__Hvenez_L1,2996503,2824042,3081252,0.67051,84749,0.027504729,H.antiochus,Chr7,Female
D6_USD_Hvenez_L1,2998772,2755110.3,3004471,0.97715,5699,0.00189684,H.hewitsoni,Chr7,Female
D7_USD_Hvenez_L1,2993649,2749553.1,2998083,0.98216,4434,0.001478945,H.hewitsoni,Chr7,Male
R_1163_Hasnov_L8,3035587,2851729.2,3111719,0.70717,76132,0.024466219,H.antiochus,Chr7,Male
R_15_D_Hssara_L1,3089243,2984011.2,3261963,0.3786,172720,0.052949712,H.sara,Chr7,Male
R_16_D_Hssara_L1,3097746,2994842.1,3274020,0.3686,176274,0.053840233,H.sara,Chr7,Male
R_2794_Hssaph_L7,3000990,2803490.9,3057167,0.77855,56177,0.018375509,H.sapho,Chr7,Female
R_31_D_Hsmagd_L1,3160337,3026909.7,3310011,0.47131,149674,0.045218581,H.sara,Chr7,Male
R_32_D_Hsmagd_L2,3165131,3031329.1,3315030,0.47163,149899,0.045217992,H.sara,Chr7,Male
R_3467_Hssara_L1,3100925,3006067.2,3286494,0.33826,185569,0.056464123,H.sara,Chr7,Male
R_3510_Hschoc_L8,3030282,2828701.5,3085397,0.78529,55115,0.017863179,H.sapho,Chr7,Female
R_3511_Hschoc_L2,3030218,2830026.3,3086496,0.78057,56278,0.018233622,H.sapho,Chr7,Male
R_35_D_Hssara_L1,3092683,2986861.2,3265063,0.38038,172380,0.052795306,H.sara,Chr7,Female
R_36_D_Hssara_L8,3040816,3035758.5,3319197,0.01784,278381,0.083869984,H.sara,Chr7,Female
R_3751_Hssara_L8,3108395,3004933.6,3285283,0.36904,176888,0.053842546,H.sara,Chr7,Female
R_37_D_Hssara_L2,3024219,3022302.7,3304035,0.0068,279816,0.084689176,H.sara,Chr7,Female
R_4134_Hsmagd_L7,3122151,3017570.2,3299321,0.37118,177170,0.053698928,H.sara,Chr7,Male
R_4186_Hsmagd_L8,3148621,3010316.8,3291491,0.49188,142870,0.043405861,H.sara,Chr7,Male
R_4187_Hsmagd_L1,3171750,3033662.1,3317586,0.48636,145836,0.043958469,H.sara,Chr7,Male
R_4510_Hssaph_L8,3065281,2867645,3128730,0.75698,63449,0.020279474,H.sapho,Chr7,Female
R_4590_Hsspru_L2,3158972,3021483.8,3303916,0.4868,144944,0.043870365,H.sara,Chr7,Male
R_4591_Hsspru_L1,3143587,3006370.6,3287298,0.48844,143711,0.043717059,H.sara,Chr7,Male
R_4597_Hsspru_L7,3160866,3026313.4,3309389,0.47532,148523,0.044879281,H.sara,Chr7,Female
R_4864_Heeleu_L7,3029856,2820096.2,3075926,0.81992,46070,0.014977603,H.eleuchia,Chr7,Female
R_4871_Heeleu_L8,3001069,2792672,3045064,0.82569,43995,0.014447972,H.eleuchia,Chr7,Male
R_5074_Haaran_L7,3019943,2826139.5,3083240,0.7538,63297,0.020529378,H.antiochus,Chr7,Female
R_5091_Hssaph_L8,3050102,2852351.4,3111679,0.76255,61577,0.019788995,H.sapho,Chr7,Female
R_5092_Hssaph_L1,3056861,2867319.5,3128110,0.7268,71249,0.022777012,H.sapho,Chr7,Female
R_5237_Hssaph_L3,3016946,2822189.2,3078241,0.76061,61295,0.019912346,H.sapho,Chr7,Male
R_5314_Hssaph_L3,3025439,2830441.8,3087660,0.7581,62221,0.020151506,H.sapho,Chr7,Female
R_5324_Hssaph_L3,3043683,2847206.3,3106142,0.75879,62459,0.020108224,H.sapho,Chr7,Male
R_806__Hccong_L1,3056504,2826451.5,3083314,0.89563,26810,0.00869519,H.congener,Chr7,Female
R_807__Hccong_L1,3044840,2816963.7,3072591,0.89144,27751,0.009031791,H.congener,Chr7,Male
R_808__Hccong_L1,3023709,2797320.6,3050744,0.89332,27035,0.008861773,H.congener,Chr7,Male
R_812__Hssara_L3,3100641,2994419.2,3273687,0.38036,173046,0.052859666,H.sara,Chr7,Female
R_820__Hssara_L3,3111495,3004322.3,3284550,0.38245,173055,0.052687583,H.sara,Chr7,Male
R_828__Hssara_L3,3101980,2999561.6,3279238,0.3662,177258,0.054054631,H.sara,Chr7,Male
R_831__Hccong_L7,2921700,2711968.7,2954524,0.86467,32824,0.011109742,H.congener,Chr7,Female
R_869__Heprim_L3,2924872,2719024.7,2964058,0.84008,39186,0.013220389,H.eleuchia,Chr7,Male
R_870__Heprim_L3,2982013,2770778.3,3021673,0.84193,39660,0.013125179,H.eleuchia,Chr7,Female
R_871__Hsspru_L3,3154242,3015818,3297771,0.49095,143529,0.043523034,H.sara,Chr7,Male
R_886__Hsspru_L3,3165511,3027550.5,3310832,0.48701,145321,0.043892593,H.sara,Chr7,Male
R_887__Heprim_L3,2896961,2693855.7,2936125,0.83835,39164,0.013338669,H.eleuchia,Chr7,Female
R_888__Heprim_L3,2924821,2719698.6,2964698,0.83724,39877,0.013450611,H.eleuchia,Chr7,Male
S1053__Hssara_L7,3130510,3027320.5,3310043,0.36499,179533,0.054238872,H.sara,Chr7,Male
S12_US_Hssara_L7,3125318,3022491.3,3304759,0.36429,179441,0.054297757,H.sara,Chr7,Female
S1_USD_Hssara_L7,3121060,3016264.6,3297892,0.37211,176832,0.053619706,H.sara,Chr7,Male
S2083__Heeleu_L2,3114984,2863292.6,3124521,0.96349,9537,0.003052308,H.eleuchia,Chr7,Male
S21203_Haanti_L5,3082304,2906722.9,3173337,0.65856,91033,0.028686837,H.antiochus,Chr7,Female
S21204_Hssara_L5,3123810,3021548.6,3303808,0.3623,179998,0.05448198,H.sara,Chr7,Male
S21229_Haanti_L5,3064648,2890089.9,3154915,0.65914,90267,0.028611547,H.antiochus,Chr7,Male
S21234_Haanti_L2,3083977,2907369,3173749,0.66299,89772,0.028285791,H.antiochus,Chr7,Female
S2172__Hsmagd_L5,3150068,2998365.4,3278320,0.89908,128252,0.039121257,H.sara,Chr7,Male
S2852__Heprim_L2,3047714,2832482.5,3090001,0.83579,42287,0.013685109,H.eleuchia,Chr7,Male
S29_US_Hsmagd_L2,3046266,3068355.3,3355869,-0.07683,309603,0.092257177,H.sara,Chr7,Male
S3106__Heeleu_L2,2958139,2721609.1,2967253,0.9629,9114,0.003071528,H.eleuchia,Chr7,Male
S337_1_Haanti_L2,3075228,2899951.4,3165607,0.65979,90379,0.028550291,H.antiochus,Chr7,Male
S33_US_Hlpseu_L5,3110615,2903828.6,3172354,0.77008,61739,0.019461573,H.leucadia,Chr7,Male
S3533__Hsmagd_L5,3185474,3050194.9,3335747,0.47375,150273,0.04504928,H.sara,Chr7,Male
S40203_Hccong_L2,3088079,2858134.6,3118798,0.88215,30719,0.009849628,H.congener,Chr7,Male
S40219_Hssara_L7,3124943,3020537.2,3302570,0.37019,177627,0.053784477,H.sara,Chr7,Male
S40343_Heprim_L2,3046887,2834991,3092833,0.82181,45946,0.014855636,H.eleuchia,Chr7,Male
